Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
East Asia & Pacific (excluding high income),EAP,GDP (current US$),1314280000000.0,1509590000000.0,1563630000000.0,1433120000000.0,1576450000000.0,1735180000000.0,1846150000000.0,2043280000000.0,2312740000000.0,2682120000000.0,3107080000000.0,3742320000000.0,4730920000000.0,5987640000000.0,6490730000000.0,7868990000000.0,9614770000000.0,10721300000000.0,11827700000000.0,12714000000000.0,13228100000000.0,13462400000000.0,14651000000000.0
Early-demographic dividend,EAR,GDP (current US$),2494110000000.0,2716410000000.0,2905160000000.0,2871200000000.0,3038350000000.0,3295360000000.0,3263090000000.0,3168650000000.0,3524760000000.0,4094680000000.0,4773570000000.0,5471140000000.0,6487630000000.0,7308300000000.0,7037760000000.0,8554860000000.0,9593520000000.0,10058500000000.0,10241800000000.0,10596000000000.0,10281100000000.0,10516900000000.0,11375500000000.0
East Asia & Pacific,EAS,GDP (current US$),8295870000000.0,7992140000000.0,7647110000000.0,6856550000000.0,7655470000000.0,8280590000000.0,7701460000000.0,7823650000000.0,8601330000000.0,9646090000000.0,10292500000000.0,10915600000000.0,12208500000000.0,14099700000000.0,14524800000000.0,16933200000000.0,19630900000000.0,21009900000000.0,21245200000000.0,21881300000000.0,21761600000000.0,22462900000000.0,23932500000000.0
Europe & Central Asia (excluding high income),ECA,GDP (current US$),760356000000.0,766131000000.0,796162000000.0,746548000000.0,626844000000.0,697944000000.0,693216000000.0,793295000000.0,999962000000.0,1324940000000.0,1680780000000.0,2063640000000.0,2672810000000.0,3310740000000.0,2603320000000.0,3107760000000.0,3843200000000.0,4070520000000.0,4327340000000.0,4037280000000.0,3089650000000.0,2961060000000.0,3323770000000.0
Europe & Central Asia,ECS,GDP (current US$),10854200000000.0,11075900000000.0,10507000000000.0,10777400000000.0,10655500000000.0,10028600000000.0,10138700000000.0,11083600000000.0,13493600000000.0,15729800000000.0,16749000000000.0,18138200000000.0,21192500000000.0,23265100000000.0,20464100000000.0,20960600000000.0,23245700000000.0,22406200000000.0,23416800000000.0,23733400000000.0,20446100000000.0,20384000000000.0,21551800000000.0
Ecuador,ECU,GDP (current US$),24432884442.0,25226393197.0,28162053027.0,27981896948.0,19645272636.0,18327764882.0,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726000000.0,99290381000.0,99937696000.0,104296000000.0
"Egypt, Arab Rep.",EGY,GDP (current US$),60159245060.0,67629716981.0,78436578171.0,84828807556.0,90710704807.0,99838543960.0,97632008710.0,87850683979.0,82924503943.0,78845185293.0,89685725230.0,107484000000.0,130479000000.0,162818000000.0,188982000000.0,218888000000.0,236002000000.0,279373000000.0,288586000000.0,305530000000.0,332698000000.0,332928000000.0,235369000000.0
Euro area,EMU,GDP (current US$),7516230000000.0,7605290000000.0,6952290000000.0,7149090000000.0,7113970000000.0,6479740000000.0,6590690000000.0,7166370000000.0,8842890000000.0,10141400000000.0,10519100000000.0,11174300000000.0,12862300000000.0,14099000000000.0,12885600000000.0,12628200000000.0,13622400000000.0,12638900000000.0,13189500000000.0,13490100000000.0,11672300000000.0,11965200000000.0,12622300000000.0
Eritrea,ERI,GDP (current US$),578015625.0,693535954.2,686490090.1,745526154.9,688921325.7,706370815.6,752368495.5,729321366.7,870247703.2,1109054005.0,1098425901.0,1211161880.0,1317974491.0,1380188800.0,1856695551.0,2117039512.0,2607739837.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,ESP,GDP (current US$),614609000000.0,642589000000.0,590077000000.0,619215000000.0,634693000000.0,596878000000.0,627287000000.0,705394000000.0,905492000000.0,1067090000000.0,1153290000000.0,1259340000000.0,1472130000000.0,1625220000000.0,1485580000000.0,1420720000000.0,1478770000000.0,1324820000000.0,1354760000000.0,1369400000000.0,1195120000000.0,1232080000000.0,1309310000000.0
Estonia,EST,GDP (current US$),4497823918.0,4780169853.0,5147711226.0,5665917232.0,5762048126.0,5694069842.0,6259258258.0,7372457191.0,9877636518.0,12144397516.0,14098326328.0,17012321791.0,22445582946.0,24371299985.0,19744110447.0,19685033799.0,23394843529.0,23192709239.0,25271407239.0,26773472962.0,23048864243.0,23996451498.0,26792757827.0
Ethiopia,ETH,GDP (current US$),7663984568.0,8547939731.0,8589211390.0,7818224906.0,7700833482.0,8242392104.0,8231326016.0,7850809498.0,8623691300.0,10131187261.0,12401139454.0,15280861835.0,19707616773.0,27066912635.0,32437389116.0,29933790334.0,31952763089.0,43310721414.0,47648211133.0,55612228234.0,64589334979.0,74296618481.0,81760441159.0
European Union,EUU,GDP (current US$),9635270000000.0,9844450000000.0,9290130000000.0,9616860000000.0,9603170000000.0,8915880000000.0,9026190000000.0,9832170000000.0,11962200000000.0,13813100000000.0,14440900000000.0,15413600000000.0,17808000000000.0,19157100000000.0,17118300000000.0,17015400000000.0,18399600000000.0,17339400000000.0,18077400000000.0,18695000000000.0,16473800000000.0,16576300000000.0,17367400000000.0
Fragile and conflict affected situations,FCS,GDP (current US$),0.0,0.0,0.0,0.0,0.0,219764000000.0,201683000000.0,193863000000.0,220187000000.0,256072000000.0,310999000000.0,367992000000.0,452555000000.0,585169000000.0,545976000000.0,650133000000.0,708206000000.0,820361000000.0,857109000000.0,860816000000.0,774984000000.0,758695000000.0,843759000000.0
Finland,FIN,GDP (current US$),134190000000.0,132129000000.0,126912000000.0,134039000000.0,135218000000.0,125707000000.0,129421000000.0,139738000000.0,171274000000.0,197117000000.0,204809000000.0,216908000000.0,256053000000.0,284554000000.0,252497000000.0,249181000000.0,275244000000.0,258305000000.0,271285000000.0,274497000000.0,234585000000.0,240570000000.0,254435000000.0
Fiji,FJI,GDP (current US$),1970347721.0,2129266728.0,2093994597.0,1656784780.0,1942170999.0,1684109743.0,1660102346.0,1842691481.0,2315935753.0,2727507213.0,3006725015.0,3102741451.0,3405050612.0,3523185920.0,2870624636.0,3140508836.0,3774530616.0,3972012571.0,4190143206.0,4856963230.0,4682546863.0,4930204220.0,5353404419.0
France,FRA,GDP (current US$),1601090000000.0,1605680000000.0,1452880000000.0,1503110000000.0,1492650000000.0,1362250000000.0,1376470000000.0,1494290000000.0,1840480000000.0,2115740000000.0,2196130000000.0,2318590000000.0,2657210000000.0,2918380000000.0,2690220000000.0,2642610000000.0,2861410000000.0,2683830000000.0,2811080000000.0,2852170000000.0,2438210000000.0,2471290000000.0,2586290000000.0
