CountryName,CountryCode,Lat,Long,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Korea,KOR,37,127.5,3753000,3684000,3908000,4250000,4660000,5322000,5147000,5347000,4753000,5818000,6023000,6155000,6448000,6891000,7818000,8798000,9795000,11140000,12176000,14202000,13232000,17242000,13336000
Kuwait,KWT,29.3375,47.6581,72000,76000,79000,77000,84000,78000,73000,96000,94000,91000,104000,185000,293000,259000,297000,207000,269000,300000,307000,0,0,0,0
Lao PDR,LAO,18,105,60000,93000,193000,200000,259000,191000,173000,215000,196000,407000,672000,842000,1142000,1295000,1239000,1670000,1894000,2291000,2700000,3164000,3543000,3315000,3257000
Lebanon,LBN,33.8333,35.8333,450000,424000,558000,631000,673000,742000,837000,956000,1016000,1278000,1140000,1063000,1017000,1333000,1844000,2168000,1655000,1366000,1274000,1355000,1518000,1688000,1857000
Liberia,LBR,6.5,-9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,25,17,0,0,0,0,0,0,0,0,0,43000,81000,42000,38000,34000,0,0,0,0,0,0,0,0,0
St. Lucia,LCA,13.8833,-61.1333,231000,236000,248000,252000,264000,270000,250000,253000,277000,298000,318000,303000,287000,296000,278000,306000,312000,307000,319000,338000,345000,348000,386000
Liechtenstein,LIE,47.1667,9.5333,59000,56000,57000,59000,60000,61600,56500,48700,49000,48500,49800,54900,58300,58500,52300,49800,53300,53600,52400,53700,48600,60000,69000
Sri Lanka,LKA,7,81,403000,302000,366000,381000,436000,400000,337000,393000,501000,566000,549000,560000,494000,438000,448000,654000,856000,1006000,1275000,1527000,1798000,2051000,2116400
Lesotho,LSO,-29.5,28.5,209000,312000,313000,290000,308000,302000,295000,287000,329000,304000,304000,357000,300000,293000,344000,426000,398000,423000,433000,1079000,1082000,1196000,1137000
Lithuania,LTU,56,24,650000,832000,1012000,1416000,1422000,1083000,1271000,1428000,1491000,1800000,2000000,2180000,1486000,1611000,1341000,1507000,1775000,1900000,2012000,2063000,2071000,2296000,2523000
Luxembourg,LUX,49.75,6.1667,768000,724000,778000,789000,863000,852000,836000,885000,867000,878000,913000,908000,914000,877000,847000,805000,874000,950000,945000,1038000,1090000,1054000,1046000
Latvia,LVA,57,25,539000,565000,635000,576000,544000,509000,591000,848000,971000,1079000,1116000,1535000,1653000,1684000,1323000,1373000,1493000,1435000,1536000,1843000,2024000,1793000,1949000
Macao,MAC,22.1667,113.55,4202000,4690000,3836000,4517000,5050000,5197000,5842000,6565000,6309000,8324000,9014000,10683000,12945000,10610000,10402000,11926000,12925000,13577000,14268000,14566000,14308000,15703600,17255000
Morocco,MAR,32,-5,2602000,2693000,3072000,3095000,3817000,4278000,4380000,4453000,4761000,5477000,5843000,6558000,7408000,7879000,8341000,9288000,9342000,9375000,10046000,10283000,10177000,10332000,11349000
Monaco,MCO,43.7333,7.4,233000,226000,259000,278000,278000,300000,270000,263000,235000,250000,286000,313000,328000,324000,265000,279000,295000,292000,328000,329000,331000,336000,355000
Moldova,MDA,47,29,0,0,0,0,0,0,0,0,0,69000,67000,63000,70000,73000,60000,64000,75000,89000,95600,93900,94400,121000,145000
Madagascar,MDG,-20,47,75000,83000,101000,121000,138000,160000,170000,62000,139000,229000,277000,312000,344000,375000,163000,196000,225000,256000,196000,222000,244000,293000,255000
Maldives,MDV,3.25,73,315000,339000,366000,396000,430000,467000,461000,485000,564000,617000,395000,602000,676000,683000,656000,792000,931000,958000,1125000,1205000,1234000,1286000,1390000
Mexico,MEX,23,-102,20241000,21395000,19351000,19392000,19043000,20641000,19810000,19667000,18665000,20618000,21915000,21353000,21606000,22931000,22346000,23290000,23403000,23403000,24151000,29346000,32093000,35079000,39291000
Marshall Islands,MHL,9,168,5500,6200,6400,6400,4600,5200,5400,6000,7200,9000,9200,5800,7200,6000,5400,4600,4600,4600,0,4900,6300,5400,6000
North Macedonia,MKD,41.8333,22,147000,136000,121000,157000,181000,224000,99000,123000,158000,165000,197000,202000,230000,255000,259000,262000,327000,351000,400000,425000,486000,510000,631000
Mali,MLI,17,-4,42000,98000,75000,83000,82000,86000,89000,96000,110000,113000,143000,153000,164000,190000,160000,169000,160000,134000,142000,168000,159300,173200,193300
Malta,MLT,35.8333,14.5833,1116000,1054000,1111000,1182000,1214000,1216000,1180000,1134000,1127000,1156000,1171000,1124000,1244000,1291000,1182000,1339000,1415000,1443000,1582000,1690000,1783000,1966000,2274000
Myanmar,MMR,22,98,194000,490000,491000,478000,435000,416000,475000,487000,597000,657000,660000,630000,716000,731000,763000,792000,816000,1059000,2044000,3081000,4681000,2907000,3443000
Montenegro,MNE,42,19,0,0,0,0,0,0,0,136000,142000,188000,272000,378000,984000,1031000,1044000,1088000,1201000,1264000,1324000,1350000,1560000,1662000,1877000
Mongolia,MNG,46,105,108000,71000,82000,165000,155000,154000,187000,229000,201000,301000,339000,404000,452000,446000,412000,456000,460000,476000,418000,393000,386000,404000,469000
Northern Mariana Islands,MNP,15.2,145.75,669000,728000,685000,481000,493000,517000,438000,466000,452000,525000,498000,429000,385000,388000,345000,375000,336000,399000,436000,455000,475100,526000,656000
Mozambique,MOZ,-18.25,35,0,0,0,0,0,0,323000,541000,441000,470000,578000,664000,771000,1193000,1461000,1718000,1902000,2113000,1886000,1661000,1552000,1639000,1447000
Mauritania,MRT,20,-12,0,0,0,0,24000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,-20.2833,57.55,422000,487000,536000,558000,578000,656000,660000,682000,702000,719000,761000,788000,907000,930000,871000,935000,965000,965000,993000,1038000,1151000,1275000,1342000
Malawi,MWI,-13.5,34,192000,194000,207000,220000,254000,228000,266000,383000,424000,427000,438000,638000,735000,742000,755000,746000,767000,770000,795000,819000,805000,849000,837000
Malaysia,MYS,2.5,112.5,7469000,7138000,6211000,5551000,7931000,10222000,12775000,13292000,10577000,15703000,16431000,17547000,20973000,22052000,23646000,24577000,24714000,25033000,25715000,27437000,25721000,26757000,25948000
Namibia,NAM,-22,17,272000,461000,502000,614000,635000,656000,670000,757000,695000,716000,778000,833000,929000,931000,980000,984000,1027000,1079000,1176000,1320000,1388000,1469000,1499000
New Caledonia,NCL,-21.5,165.5,86000,91000,105000,104000,100000,110000,101000,104000,102000,100000,101000,100000,103000,104000,99000,99000,112000,112000,108000,107000,114000,116000,121000
Niger,NER,16,8,35000,68000,68000,41000,39000,50000,52000,39000,55000,57000,58000,60000,48000,73000,66000,74000,82000,94000,123000,135000,135000,152000,164000
Nigeria,NGA,10,8,656000,822000,611000,739000,776000,813000,850000,887000,924000,962000,1010000,1111000,1212000,1313000,1414000,1555000,715000,486000,600000,0,1255000,1889000,0
Nicaragua,NIC,13,-85,281000,303000,358000,406000,468000,486000,483000,472000,526000,615000,712000,749000,800000,858000,932000,1011000,1060000,1180000,1229000,1330000,1386000,1504000,1787000
